Date,Open,High,Low,Close,Adj Close,Volume
01-10-20,13.8,13.845,13.625,13.705,13.705,2613176
02-10-20,13.625,13.645,13.42,13.49,13.49,1959222
05-10-20,13.54,13.635,13.4,13.52,13.52,2166640
06-10-20,13.52,13.575,13.365,13.56,13.56,2092834
07-10-20,13.505,13.66,13.39,13.44,13.44,1996006
08-10-20,13.475,13.6,13.41,13.58,13.58,2225303
09-10-20,13.61,13.905,13.595,13.875,13.875,2309601
12-10-20,13.88,13.88,13.7,13.85,13.85,2336691
13-10-20,13.805,13.9,13.79,13.82,13.82,2119244
14-10-20,13.84,14.13,13.84,14.005,14.005,2152855
15-10-20,13.9,14.05,13.83,14.025,14.025,2226368
16-10-20,14.08,14.195,14,14.055,14.055,2413847
19-10-20,14.055,14.23,13.845,14.015,14.015,840306
20-10-20,13.915,14.125,13.86,14.05,14.05,1878380
21-10-20,14.025,14.105,13.9,13.925,13.925,1629032
22-10-20,13.89,13.89,13.61,13.65,13.65,2420642
23-10-20,13.715,13.925,13.675,13.85,13.85,1828659
26-10-20,13.65,14.055,13.63,13.905,13.905,2320640
27-10-20,13.94,13.97,13.58,13.61,13.61,2709281
28-10-20,13.55,13.985,13.17,13.595,13.595,6573986
29-10-20,13.55,13.64,13.205,13.32,13.32,4673824
30-10-20,13.3,13.43,13.045,13.36,13.36,3993857
02-11-20,13.15,13.525,13.04,13.52,13.52,2685089
03-11-20,13.59,13.77,13.255,13.395,13.395,3553272
04-11-20,13.285,13.53,13.13,13.485,13.485,2497253
05-11-20,13.52,13.655,13.375,13.57,13.57,2344621
06-11-20,13.52,13.685,13.385,13.41,13.41,1976030
09-11-20,13.555,14.16,13.445,14.16,14.16,5813008
10-11-20,14.13,14.385,13.905,14.08,14.08,5159474
11-11-20,14.09,14.42,14.075,14.33,14.33,4881432
12-11-20,14.265,14.36,14.135,14.245,14.245,2827314
13-11-20,14.22,14.44,14.17,14.34,14.34,3216422
16-11-20,14.34,14.525,14.305,14.37,14.37,3628423
17-11-20,14.37,14.745,14.37,14.7,14.7,3407628
18-11-20,14.555,14.67,14.365,14.425,14.425,3192650
19-11-20,14.38,14.48,14.13,14.135,14.135,3697073
20-11-20,14.19,14.265,13.82,13.82,13.82,3968214
